feature,family,best_target,feature_tier,development_auc,development_ic,newey_west_t,positive_fold_fraction,holdout_ic,holdout_auc,holdout_sign_consistent,max_abs_correlation,rationale,tier_reason
falling_vix_after_high_vix,macro_recovery,btc_eth_50_50_30d_upside,Expansion Tier 1,0.5208475269110232,-0.046069081131721,-2.1627731109867847,0.7333333333333333,-0.22477089680114976,0.6507936507936507,True,0.5172041100121462,falling VIX after high-volatility regime,"development evidence, CPCV stability, non-redundant, holdout sign diagnostic consistent"
eth_btc_breakout_strength,leadership,eth_30d_upside,Expansion Tier 2,0.6877003788982804,-0.2918769830149428,-6.78154584521511,1.0,0.04634040850079055,0.5373900293255132,False,0.7435897970380995,ETH/BTC distance to 63d breakout,promising development evidence but weaker stability/significance/holdout diagnostic
eth_btc_relative_strength_63d,leadership,eth_30d_upside,Expansion Tier 2,0.6521422325852522,-0.23656116102914815,-6.346220586457177,0.9333333333333333,0.07814204689714922,0.563049853372434,False,0.5842824508571544,ETH/BTC 63d relative strength,promising development evidence but weaker stability/significance/holdout diagnostic
stablecoin_supply_7d_30d_spread,liquidity_inflow,eth_30d_upside,Expansion Tier 2,0.6393908481492276,-0.21673443536818027,-1.3512912493599116,0.6666666666666666,0.04179690880545191,0.533724340175953,False,0.786384569682936,short-term stablecoin growth above trend,promising development evidence but weaker stability/significance/holdout diagnostic
equity_momentum_recovery,macro_recovery,btc_eth_50_50_30d_upside,Expansion Tier 2,0.5815506199754734,-0.13115166773989975,-3.4854831655409964,0.7333333333333333,0.10211801333109471,0.5857142857142857,False,0.6771837412528583,equity momentum recovery from local trough,promising development evidence but weaker stability/significance/holdout diagnostic
distance_from_180d_lows,recovery_capitulation,eth_vs_btc_leadership,Expansion Tier 2,0.580548128342246,0.13075989209589042,1.2156589842434127,0.6,-0.08643184531720685,0.5603070175438596,False,0.76244808589338,average distance from 180d lows,promising development evidence but weaker stability/significance/holdout diagnostic
volume_acceleration,volume_attention,eth_30d_upside,Expansion Tier 2,0.5714077528417372,0.11102966370142012,5.860301833897774,1.0,-0.0690557623742249,0.5557184750733137,False,0.7377900193998209,short-term volume acceleration versus 30d growth,promising development evidence but weaker stability/significance/holdout diagnostic
btc_dominance_proxy_change_30d,leadership,btc_eth_50_50_30d_upside,Expansion Tier 2,0.5675841395285461,0.10867547168805325,4.638420966327266,0.8666666666666667,-0.05861380755059712,0.5492063492063493,False,0.44467592569909026,BTC dominance proxy change,promising development evidence but weaker stability/significance/holdout diagnostic
tvl_7d_30d_spread,liquidity_inflow,eth_vs_btc_leadership,Expansion Tier 2,0.5538101604278074,-0.08735411878605127,-0.4454691949137662,0.5333333333333333,-0.1037182143806482,0.5723684210526316,True,0.7064462344524748,short-term TVL growth above trend,promising development evidence but weaker stability/significance/holdout diagnostic
abnormal_volume_zscore,volume_attention,eth_30d_upside,Expansion Tier 2,0.552608568930341,0.08179940529839318,5.990786973167074,1.0,-0.012720798332094057,0.5102639296187683,False,0.5784679904218504,abnormal market volume growth,promising development evidence but weaker stability/significance/holdout diagnostic
realized_volatility_compression,volatility_structure,eth_30d_upside,Expansion Tier 2,0.5374526377149519,-0.05823550772584045,-0.5188445538998216,0.5333333333333333,0.019992293373259733,0.5161290322580645,False,0.713592776502152,low realized volatility before expansion,promising development evidence but weaker stability/significance/holdout diagnostic
equity_volatility_compression,macro_recovery,eth_vs_btc_leadership,Expansion Tier 2,0.5313502673796792,-0.05089672172974955,-2.1507347065212663,0.7333333333333333,0.06915988072788236,0.5482456140350878,False,0.4926647456021258,compression in equity realized volatility,promising development evidence but weaker stability/significance/holdout diagnostic
volume_breadth,volume_attention,eth_vs_btc_leadership,Expansion Tier 2,0.5302473262032085,0.049175480655679844,2.0931802996246063,0.6666666666666666,0.11967240621208729,0.5833333333333333,True,0.7496492565857177,share of top-20 with above-median volume,promising development evidence but weaker stability/significance/holdout diagnostic
distance_from_30d_lows,recovery_capitulation,eth_vs_btc_leadership,Expansion Tier 3,0.632620320855615,0.21529263561680215,5.133868167564986,0.9333333333333333,0.2828678574017679,0.6973684210526315,True,0.918162861331234,average distance from 30d lows,"unstable, redundant, or weak development evidence"
assets_rebounding_from_30d_lows_pct,recovery_capitulation,eth_vs_btc_leadership,Expansion Tier 3,0.6098930481283422,0.1790595431885602,4.096250963707072,0.9333333333333333,0.3219085660212192,0.7242324561403508,True,0.918162861331234,share of assets rebounding from 30d lows,"unstable, redundant, or weak development evidence"
top10_breadth_acceleration,participation_breadth,btc_30d_upside,Expansion Tier 3,0.6074215927157104,0.1686547172883443,4.031590259187838,0.8666666666666667,0.009048048695546722,0.5102941176470588,True,0.9466311709366018,top-10 breadth acceleration,"unstable, redundant, or weak development evidence"
top20_breadth_acceleration,participation_breadth,eth_vs_btc_leadership,Expansion Tier 3,0.5809491978609626,0.13156760488200356,17.29071020622387,1.0,0.19526102716034285,0.6359649122807017,True,0.9466311709366018,top-20 breadth acceleration,"unstable, redundant, or weak development evidence"
top20_equal_weight_minus_btc_return_30d,leadership,eth_30d_upside,Expansion Tier 3,0.5747595453220635,-0.11624126016087452,-3.5511983486182026,0.7333333333333333,0.03997965190086704,0.532258064516129,False,0.9988765298720126,top-20 equal weight return minus BTC,"unstable, redundant, or weak development evidence"
altcoin_leadership_proxy_30d,leadership,eth_30d_upside,Expansion Tier 3,0.5720635383270184,-0.11204932387826988,-3.317044603861772,0.7333333333333333,0.05633496404213083,0.5454545454545454,False,0.9988765298720126,altcoin basket leadership versus BTC,"unstable, redundant, or weak development evidence"
top20_positive_30d_return_pct,participation_breadth,eth_vs_btc_leadership,Expansion Tier 3,0.571524064171123,0.11639275131929123,4.715576153941702,0.8666666666666667,0.17828223419949824,0.6239035087719299,True,0.9745165053304519,share of top-20 with positive 30d returns,"unstable, redundant, or weak development evidence"
top20_equal_weight_minus_btc_vol_adj_30d,leadership,eth_30d_upside,Expansion Tier 3,0.5654328184202857,-0.10173942653456661,-3.1805400207690107,0.8,0.045431422614621644,0.5366568914956011,False,0.9768856499826255,volatility-adjusted top-20 leadership versus BTC,"unstable, redundant, or weak development evidence"
breadth_recovery_from_depressed,participation_breadth,eth_vs_btc_leadership,Expansion Tier 3,0.5626002673796792,0.10178711266459332,4.432299543541506,0.8666666666666667,0.21633088793132127,0.6502192982456141,True,0.9745165053304519,breadth recovery after depressed participation,"unstable, redundant, or weak development evidence"
