trial_id,family,hypothesis,n_trades,n_bars,gross_bps_per_bar,net_bps_per_bar,sharpe_net,sharpe_gross,max_dd_pct,total_net_return_pct,avg_turnover_per_bar,regime_bull,regime_bear,regime_chop,n_pos_regimes,outcome,cause_of_death
A15_z3.0_h48,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",6707.0,29328.0,1.0309,-0.0683,-0.058,0.874,-99.11,-85.04,0.04341,1.056,-3.218,0.81,2.0,KILLED,net edge -0.0683bps<=0 at pessimistic cost
A15_z4.0_h12,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",3591.0,29328.0,-0.0602,-0.7215,-1.09,-0.092,-96.0,-93.21,0.02615,0.331,-1.985,-0.808,1.0,KILLED,net edge -0.7215bps<=0 at pessimistic cost
A15_z4.0_h24,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",3351.0,29328.0,0.1455,-0.4577,-0.637,0.204,-91.02,-86.68,0.02383,0.621,-1.413,-0.729,1.0,KILLED,net edge -0.4577bps<=0 at pessimistic cost
A15_z4.0_h48,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",3199.0,29328.0,0.0303,-0.5136,-0.654,0.039,-94.17,-90.02,0.02151,0.414,-1.652,-0.577,1.0,KILLED,net edge -0.5136bps<=0 at pessimistic cost
B_mom_1d_f0.1,B,Cross-sectional momentum 1d decile L/S,27553.0,29328.0,-0.4026,-2.3078,-7.36,-1.285,-99.9,-99.9,0.0755,-2.978,-2.119,-1.92,0.0,KILLED,net edge -2.3078bps<=0 at pessimistic cost
B_mom_1d_f0.2,B,Cross-sectional momentum 1d decile L/S,20468.0,29328.0,-0.2516,-1.9459,-8.574,-1.111,-99.72,-99.69,0.06721,-2.474,-1.82,-1.628,0.0,KILLED,net edge -1.9459bps<=0 at pessimistic cost
B_momLO_1d,B,Cross-sectional momentum 1d LONG-ONLY,33160.0,29328.0,1.0237,-0.42,-0.382,0.931,-99.22,-93.98,0.05733,3.584,-5.354,-0.682,1.0,KILLED,net edge -0.42bps<=0 at pessimistic cost
B_mom_3d_f0.1,B,Cross-sectional momentum 3d decile L/S,20851.0,29328.0,0.0509,-1.314,-4.02,0.156,-98.25,-98.15,0.05409,-1.329,-1.635,-1.13,0.0,KILLED,net edge -1.314bps<=0 at pessimistic cost
B_mom_3d_f0.2,B,Cross-sectional momentum 3d decile L/S,23322.0,29328.0,0.0412,-1.0433,-4.524,0.179,-95.93,-95.62,0.04303,-1.1,-1.179,-0.929,0.0,KILLED,net edge -1.0433bps<=0 at pessimistic cost
B_momLO_3d,B,Cross-sectional momentum 3d LONG-ONLY,16531.0,29328.0,1.0787,-0.0218,-0.02,0.976,-98.64,-80.93,0.04373,4.163,-5.202,-0.283,1.0,KILLED,net edge -0.0218bps<=0 at pessimistic cost
B_mom_7d_f0.1,B,Cross-sectional momentum 7d decile L/S,14124.0,29328.0,0.2452,-0.838,-2.441,0.715,-94.83,-92.64,0.04293,-0.733,-1.027,-0.812,0.0,KILLED,net edge -0.838bps<=0 at pessimistic cost
B_mom_7d_f0.2,B,Cross-sectional momentum 7d decile L/S,18633.0,29328.0,0.0806,-0.7553,-3.054,0.326,-91.48,-89.91,0.03315,-0.728,-0.842,-0.729,0.0,KILLED,net edge -0.7553bps<=0 at pessimistic cost
B_momLO_7d,B,Cross-sectional momentum 7d LONG-ONLY,10096.0,29328.0,1.0943,0.2516,0.227,0.985,-97.4,-58.0,0.03351,4.584,-4.837,-0.166,1.0,KILLED,only 1/3 regimes positive
B_mom_30d_f0.1,B,Cross-sectional momentum 30d decile L/S,6689.0,29328.0,0.2205,-0.4623,-1.307,0.624,-84.33,-78.08,0.02711,-0.389,-0.809,-0.329,0.0,KILLED,net edge -0.4623bps<=0 at pessimistic cost
B_mom_30d_f0.2,B,Cross-sectional momentum 30d decile L/S,9775.0,29328.0,0.0827,-0.4284,-1.754,0.339,-79.13,-73.64,0.02027,-0.431,-0.712,-0.274,0.0,KILLED,net edge -0.4284bps<=0 at pessimistic cost
B_momLO_30d,B,Cross-sectional momentum 30d LONG-ONLY,4316.0,29328.0,0.899,0.4259,0.391,0.826,-94.22,-25.54,0.01888,4.566,-4.381,-0.004,1.0,KILLED,only 1/3 regimes positive
B_rev_1h_h3,B,Short-horizon reversal 1h,253139.0,29328.0,0.4421,-17.6236,-83.189,2.114,-100.0,-100.0,0.71662,-17.339,-18.022,-17.616,0.0,KILLED,net edge -17.6236bps<=0 at pessimistic cost
B_rev_1h_h6,B,Short-horizon reversal 1h,86921.0,29328.0,0.4189,-12.8157,-62.621,2.067,-100.0,-100.0,0.52491,-12.494,-13.385,-12.743,0.0,KILLED,net edge -12.8157bps<=0 at pessimistic cost
B_rev_3h_h3,B,Short-horizon reversal 3h,235021.0,29328.0,0.0868,-12.0539,-53.987,0.392,-100.0,-100.0,0.48178,-11.912,-12.08,-12.143,0.0,KILLED,net edge -12.0539bps<=0 at pessimistic cost
B_rev_3h_h6,B,Short-horizon reversal 3h,102605.0,29328.0,0.1526,-8.1224,-37.632,0.712,-100.0,-100.0,0.32835,-7.949,-8.359,-8.121,0.0,KILLED,net edge -8.1224bps<=0 at pessimistic cost
B_rev_6h_h3,B,Short-horizon reversal 6h,217558.0,29328.0,0.2014,-8.6549,-36.209,0.847,-100.0,-100.0,0.35144,-8.511,-8.724,-8.723,0.0,KILLED,net edge -8.6549bps<=0 at pessimistic cost
B_rev_6h_h6,B,Short-horizon reversal 6h,106099.0,29328.0,0.244,-5.9686,-26.432,1.085,-100.0,-100.0,0.24656,-5.691,-6.22,-6.036,0.0,KILLED,net edge -5.9686bps<=0 at pessimistic cost
B08,B,Idiosyncratic-vol ranking (long low idio vol),4756.0,29328.0,-0.0179,-0.3127,-1.356,-0.078,-65.02,-62.69,0.01172,-0.145,0.012,-0.611,1.0,KILLED,net edge -0.3127bps<=0 at pessimistic cost
B09,B,Low-beta anomaly ranking,2561.0,29328.0,-0.2414,-0.407,-1.253,-0.743,-77.59,-73.55,0.00663,-1.176,0.211,-0.179,1.0,KILLED,net edge -0.407bps<=0 at pessimistic cost
B10,B,Funding-adjusted momentum,18628.0,29328.0,0.1239,-0.7101,-2.872,0.502,-90.65,-88.48,0.03308,-0.682,-0.773,-0.697,0.0,KILLED,net edge -0.7101bps<=0 at pessimistic cost
B11,B,Liquidity-scaled momentum,18556.0,29328.0,0.0438,-0.7757,-3.38,0.191,-91.94,-90.39,0.0325,-0.741,-0.849,-0.761,0.0,KILLED,net edge -0.7757bps<=0 at pessimistic cost
B12,B,Sector rotation L1/DeFi/Meme/Infra,481.0,29328.0,0.4098,0.0552,0.145,1.081,-75.09,-2.33,0.01536,1.566,-1.513,-0.202,1.0,KILLED,only 1/3 regimes positive
C01_q0.1,C,Realised-vol compression -> expansion breakout,30080.0,29328.0,0.1672,-8.6209,-10.179,0.203,-100.0,-100.0,0.35041,-9.615,-6.48,-9.05,0.0,KILLED,net edge -8.6209bps<=0 at pessimistic cost
C01_q0.2,C,Realised-vol compression -> expansion breakout,35722.0,29328.0,0.1087,-9.4124,-11.135,0.132,-100.0,-100.0,0.37985,-11.138,-7.085,-9.408,0.0,KILLED,net edge -9.4124bps<=0 at pessimistic cost
C01_q0.3,C,Realised-vol compression -> expansion breakout,37894.0,29328.0,-0.0742,-10.0557,-11.875,-0.09,-100.0,-100.0,0.39827,-11.575,-8.823,-9.611,0.0,KILLED,net edge -10.0557bps<=0 at pessimistic cost
C05_h6,C,Range contraction -> breakout,105070.0,29328.0,0.5232,-12.4149,-16.008,0.686,-100.0,-100.0,0.51486,-11.975,-11.807,-13.064,0.0,KILLED,net edge -12.4149bps<=0 at pessimistic cost
C05_h12,C,Range contraction -> breakout,82418.0,29328.0,0.5267,-6.6409,-9.845,0.787,-100.0,-100.0,0.28525,-6.118,-6.281,-7.217,0.0,KILLED,net edge -6.6409bps<=0 at pessimistic cost
C05_h24,C,Range contraction -> breakout,58452.0,29328.0,0.3426,-3.2948,-6.257,0.653,-100.0,-100.0,0.14474,-2.58,-3.266,-3.833,0.0,KILLED,net edge -3.2948bps<=0 at pessimistic cost
C10,C,"Regime-conditional: revert in high vol, trend in low vol",107772.0,29328.0,-0.2951,-8.3575,-30.8,-1.097,-100.0,-100.0,0.32048,-8.0,-8.589,-8.494,0.0,KILLED,net edge -8.3575bps<=0 at pessimistic cost
D_asia_open_long,D,Session effect asia_open (long),139114.0,29328.0,-0.2957,-2.3933,-6.122,-0.772,-99.93,-99.93,0.08334,-1.719,-3.041,-2.536,0.0,KILLED,net edge -2.3933bps<=0 at pessimistic cost
D_asia_open_short,D,Session effect asia_open (short),139114.0,29328.0,0.2957,-1.8019,-4.624,0.772,-99.59,-99.58,0.08334,-2.448,-1.136,-1.689,0.0,KILLED,net edge -1.8019bps<=0 at pessimistic cost
D_europe_open_long,D,Session effect europe_open (long),139146.0,29328.0,0.1187,-1.9789,-5.188,0.316,-99.8,-99.75,0.08333,-1.163,-2.943,-2.055,0.0,KILLED,net edge -1.9789bps<=0 at pessimistic cost
D_europe_open_short,D,Session effect europe_open (short),139146.0,29328.0,-0.1187,-2.2163,-5.772,-0.316,-99.88,-99.88,0.08333,-3.025,-1.292,-2.124,0.0,KILLED,net edge -2.2163bps<=0 at pessimistic cost
D_us_open_long,D,Session effect us_open (long),139152.0,29328.0,-0.057,-2.1546,-4.896,-0.131,-99.87,-99.86,0.08334,-2.032,-2.719,-1.939,0.0,KILLED,net edge -2.1546bps<=0 at pessimistic cost
D_us_open_short,D,Session effect us_open (short),139152.0,29328.0,0.057,-2.0406,-4.642,0.131,-99.81,-99.8,0.08334,-2.15,-1.523,-2.24,0.0,KILLED,net edge -2.0406bps<=0 at pessimistic cost
D_europe_close_long,D,Session effect europe_close (long),139154.0,29328.0,-0.072,-2.1695,-7.226,-0.248,-99.85,-99.85,0.08333,-1.504,-2.914,-2.254,0.0,KILLED,net edge -2.1695bps<=0 at pessimistic cost
D_europe_close_short,D,Session effect europe_close (short),139154.0,29328.0,0.072,-2.0256,-6.755,0.248,-99.78,-99.77,0.08333,-2.684,-1.291,-1.941,0.0,KILLED,net edge -2.0256bps<=0 at pessimistic cost
D_us_close_long,D,Session effect us_close (long),139156.0,29328.0,0.2982,-1.7993,-5.817,0.99,-99.61,-99.55,0.08333,-1.461,-2.212,-1.824,0.0,KILLED,net edge -1.7993bps<=0 at pessimistic cost
D_us_close_short,D,Session effect us_close (short),139156.0,29328.0,-0.2982,-2.3958,-7.698,-0.99,-99.92,-99.92,0.08333,-2.705,-1.994,-2.386,0.0,KILLED,net edge -2.3958bps<=0 at pessimistic cost
D06_pre_settle_long,D,Pre-funding-settlement hour drift,417454.0,29328.0,-0.0431,-6.335,-14.645,-0.104,-100.0,-100.0,0.24997,-5.484,-6.813,-6.699,0.0,KILLED,net edge -6.335bps<=0 at pessimistic cost
D07_post_settle_long,D,Post-funding-settlement hour drift,417408.0,29328.0,-0.1611,-6.4538,-16.277,-0.426,-100.0,-100.0,0.25,-5.316,-8.404,-6.232,0.0,KILLED,net edge -6.4538bps<=0 at pessimistic cost
D06_pre_settle_short,D,Pre-funding-settlement hour drift,417454.0,29328.0,0.0431,-6.2488,-14.461,0.104,-100.0,-100.0,0.24997,-7.054,-5.805,-5.9,0.0,KILLED,net edge -6.2488bps<=0 at pessimistic cost
D07_post_settle_short,D,Post-funding-settlement hour drift,417408.0,29328.0,0.1611,-6.1316,-15.534,0.426,-100.0,-100.0,0.25,-7.286,-4.184,-6.34,0.0,KILLED,net edge -6.1316bps<=0 at pessimistic cost
D08,D,Settlement drift conditional on funding sign,119885.0,29328.0,-0.5517,-6.1107,-15.375,-1.45,-100.0,-100.0,0.22115,-6.103,-6.402,-5.959,0.0,KILLED,net edge -6.1107bps<=0 at pessimistic cost
D09,D,Weekend move reverts,19254.0,29328.0,0.5835,-1.2083,-2.484,1.195,-97.99,-97.87,0.07136,-0.633,-1.34,-1.558,0.0,KILLED,net edge -1.2083bps<=0 at pessimistic cost
D12_dow0,D,Day-of-week 0 long,19916.0,29328.0,-0.0191,-0.3188,-0.769,-0.046,-79.62,-68.57,0.01191,0.218,-0.857,-0.421,1.0,KILLED,net edge -0.3188bps<=0 at pessimistic cost
D12_dow1,D,Day-of-week 1 long,19846.0,29328.0,0.1756,-0.1233,-0.278,0.397,-64.41,-46.14,0.01188,-0.094,-0.651,0.14,1.0,KILLED,net edge -0.1233bps<=0 at pessimistic cost
D12_dow2,D,Day-of-week 2 long,19857.0,29328.0,0.3291,0.0302,0.059,0.644,-67.02,-22.87,0.01187,0.921,-0.764,-0.192,1.0,KILLED,only 1/3 regimes positive
D12_dow3,D,Day-of-week 3 long,19864.0,29328.0,0.0358,-0.263,-0.663,0.091,-75.04,-62.26,0.01187,0.213,-0.461,-0.504,1.0,KILLED,net edge -0.263bps<=0 at pessimistic cost
D12_dow4,D,Day-of-week 4 long,19909.0,29328.0,0.3771,0.0766,0.188,0.925,-56.53,0.91,0.01194,1.19,-1.104,-0.1,1.0,KILLED,only 1/3 regimes positive
D12_dow5,D,Day-of-week 5 long,19864.0,29328.0,0.0568,-0.2436,-0.691,0.162,-74.17,-58.34,0.01193,0.405,-1.09,-0.26,1.0,KILLED,net edge -0.2436bps<=0 at pessimistic cost
D12_dow6,D,Day-of-week 6 long,19907.0,29328.0,0.0901,-0.2103,-0.564,0.243,-66.63,-54.93,0.01193,0.14,-0.851,-0.12,1.0,KILLED,net edge -0.2103bps<=0 at pessimistic cost
E06_z1.5,E,Beta-hedged residual reversion,37394.0,29328.0,0.0401,-2.5972,-7.529,0.117,-99.96,-99.96,0.10468,-3.373,-1.432,-2.66,0.0,KILLED,net edge -2.5972bps<=0 at pessimistic cost
E09_z1.5,E,Alt/BTC ratio reversion,19482.0,29328.0,-0.0678,-1.2503,-1.532,-0.083,-99.19,-98.91,0.04686,-1.416,-1.629,-0.925,0.0,KILLED,net edge -1.2503bps<=0 at pessimistic cost
E06_z2.0,E,Beta-hedged residual reversion,25786.0,29328.0,-0.1398,-3.8888,-7.336,-0.264,-100.0,-100.0,0.14867,-4.933,-1.967,-4.163,0.0,KILLED,net edge -3.8888bps<=0 at pessimistic cost
E09_z2.0,E,Alt/BTC ratio reversion,16629.0,29328.0,-0.0676,-1.7882,-1.929,-0.073,-99.87,-99.83,0.06823,-2.481,-1.106,-1.65,0.0,KILLED,net edge -1.7882bps<=0 at pessimistic cost
E06_z3.0,E,Beta-hedged residual reversion,8635.0,29328.0,0.17,-5.4422,-4.092,0.128,-100.0,-100.0,0.22252,-7.221,-0.421,-6.853,0.0,KILLED,net edge -5.4422bps<=0 at pessimistic cost
E09_z3.0,E,Alt/BTC ratio reversion,7785.0,29328.0,-0.6423,-3.0206,-2.182,-0.465,-100.0,-100.0,0.09452,-5.445,-0.07,-2.842,0.0,KILLED,net edge -3.0206bps<=0 at pessimistic cost
E04_lag1,E,BTC leads alts by 1h,219.0,29328.0,-2.2515,-29.0189,-25.633,-2.038,-100.0,-100.0,1.06055,-29.448,-30.802,-27.743,0.0,KILLED,too few trades (219<300)
E04_lag2,E,BTC leads alts by 2h,219.0,29328.0,-0.7051,-27.4695,-24.276,-0.638,-100.0,-100.0,1.06043,-28.038,-24.913,-28.434,0.0,KILLED,too few trades (219<300)
E04_lag3,E,BTC leads alts by 3h,219.0,29328.0,-0.4001,-27.1651,-23.922,-0.362,-100.0,-100.0,1.06046,-27.439,-27.714,-26.669,0.0,KILLED,too few trades (219<300)
H02_d7_long,H,New perp listing first 7d drift,53.0,29328.0,0.3408,0.2703,0.227,0.286,-95.36,-64.24,0.00288,1.015,-2.028,0.966,2.0,KILLED,too few trades (53<300)
H02_d7_short,H,New perp listing first 7d drift,53.0,29328.0,-0.3408,-0.4113,-0.345,-0.286,-96.27,-95.28,0.00288,-1.187,1.971,-1.13,1.0,KILLED,too few trades (53<300)
H02_d14_long,H,New perp listing first 14d drift,53.0,29328.0,0.1181,0.0608,0.048,0.093,-98.38,-85.08,0.00238,1.79,-2.508,0.184,2.0,KILLED,too few trades (53<300)
H02_d14_short,H,New perp listing first 14d drift,53.0,29328.0,-0.1181,-0.1755,-0.138,-0.093,-95.74,-92.57,0.00238,-1.931,2.434,-0.301,1.0,KILLED,too few trades (53<300)
H02_d30_long,H,New perp listing first 30d drift,53.0,29328.0,1.0118,0.9676,0.697,0.729,-98.2,43.16,0.00187,5.209,-3.178,0.107,2.0,KILLED,too few trades (53<300)
H02_d30_short,H,New perp listing first 30d drift,53.0,29328.0,-1.0118,-1.0561,-0.761,-0.729,-99.78,-99.63,0.00187,-5.301,3.104,-0.201,1.0,KILLED,too few trades (53<300)
H04_d7_long,H,Delisting run-up last 7d,7.0,29328.0,-1.1193,-1.1297,-0.373,-0.369,-99.99,-99.99,0.00041,-0.155,-4.583,0.022,1.0,KILLED,too few trades (7<300)
H04_d7_short,H,Delisting run-up last 7d,7.0,29328.0,1.1193,1.1089,0.366,0.369,-4507.62,569874.8,0.00041,0.15,4.533,-0.038,2.0,KILLED,too few trades (7<300)
H04_d14_long,H,Delisting run-up last 14d,8.0,29328.0,-1.0589,-1.0711,-0.352,-0.348,-100.0,-99.99,0.00048,-0.094,-4.581,0.109,1.0,KILLED,too few trades (8<300)
H04_d14_short,H,Delisting run-up last 14d,8.0,29328.0,1.0589,1.0467,0.344,0.348,-4507.62,433718.95,0.00048,0.083,4.516,-0.122,2.0,KILLED,too few trades (8<300)
B_rev_1h_h1,B,Short-horizon reversal 1h,671830.0,29328.0,0.8503,-38.1458,-135.541,3.069,-100.0,-100.0,1.54662,-37.745,-38.527,-38.233,0.0,KILLED,net edge -38.1458bps<=0 at pessimistic cost
B_rev_3h_h1,B,Short-horizon reversal 3h,533137.0,29328.0,0.1475,-22.9762,-80.252,0.524,-100.0,-100.0,0.91734,-22.885,-22.827,-23.124,0.0,KILLED,net edge -22.9762bps<=0 at pessimistic cost
B_rev_6h_h1,B,Short-horizon reversal 6h,412166.0,29328.0,0.4098,-16.3039,-55.498,1.411,-100.0,-100.0,0.66315,-16.078,-16.23,-16.509,0.0,KILLED,net edge -16.3039bps<=0 at pessimistic cost
A06_h6,A,OI up + price up -> fade crowded longs,9260.0,29328.0,-0.1237,-3.0039,-3.384,-0.141,-100.0,-99.99,0.14129,-6.31,-0.035,-2.191,0.0,KILLED,net edge -3.0039bps<=0 at pessimistic cost
A07_h6,A,OI down + price up -> follow short squeeze,9249.0,29328.0,0.4262,-3.5252,-4.488,0.542,-100.0,-100.0,0.1936,-0.201,-6.325,-4.442,0.0,KILLED,net edge -3.5252bps<=0 at pessimistic cost
A08_h6,A,OI up + price down -> fade new shorts,7991.0,29328.0,-0.7206,-4.5112,-5.024,-0.808,-100.0,-100.0,0.18612,-1.076,-8.032,-5.12,0.0,KILLED,net edge -4.5112bps<=0 at pessimistic cost
A09_h6,A,OI down + price down -> buy long capitulation,9481.0,29328.0,0.1602,-2.7592,-3.079,0.181,-99.99,-99.99,0.14332,0.481,-5.669,-3.556,1.0,KILLED,net edge -2.7592bps<=0 at pessimistic cost
A06_h12,A,OI up + price up -> fade crowded longs,6899.0,29328.0,-0.0305,-2.0079,-2.273,-0.035,-99.93,-99.9,0.09714,-5.169,1.401,-1.539,1.0,KILLED,net edge -2.0079bps<=0 at pessimistic cost
A07_h12,A,OI down + price up -> follow short squeeze,7240.0,29328.0,0.2209,-2.3989,-2.986,0.274,-99.98,-99.96,0.12865,1.071,-5.395,-3.316,1.0,KILLED,net edge -2.3989bps<=0 at pessimistic cost
A08_h12,A,OI up + price down -> fade new shorts,6334.0,29328.0,-0.4177,-2.9972,-2.811,-0.393,-100.0,-100.0,0.12689,0.271,-6.055,-3.734,1.0,KILLED,net edge -2.9972bps<=0 at pessimistic cost
A09_h12,A,OI down + price down -> buy long capitulation,6851.0,29328.0,0.4802,-1.4052,-1.559,0.537,-99.79,-99.43,0.09271,1.818,-4.215,-2.243,1.0,KILLED,net edge -1.4052bps<=0 at pessimistic cost
A06_h24,A,OI up + price up -> fade crowded longs,4879.0,29328.0,-0.2966,-1.493,-1.674,-0.334,-99.57,-99.55,0.05887,-4.632,1.546,-0.84,1.0,KILLED,net edge -1.493bps<=0 at pessimistic cost
A07_h24,A,OI down + price up -> follow short squeeze,5651.0,29328.0,0.3305,-1.2954,-1.547,0.394,-99.73,-99.09,0.08014,2.179,-5.251,-1.699,1.0,KILLED,net edge -1.2954bps<=0 at pessimistic cost
A08_h24,A,OI up + price down -> fade new shorts,5033.0,29328.0,-0.166,-1.8062,-1.698,-0.156,-99.91,-99.87,0.08073,1.343,-5.368,-2.184,1.0,KILLED,net edge -1.8062bps<=0 at pessimistic cost
A09_h24,A,OI down + price down -> buy long capitulation,4609.0,29328.0,0.4152,-0.6493,-0.707,0.454,-98.52,-94.94,0.05256,2.672,-3.745,-1.405,1.0,KILLED,net edge -0.6493bps<=0 at pessimistic cost
